GENDER,MARRITAL_STATUS,BVN,MEANS_OF_IDENTIFICATION,EMAIL_ADDRESS,TYPE_OF_LOAN,MONTHLY_INCOME_TOTAL,LOAN_AMOUNT,OUTSTANDING_LOAN_BALANCE,COUNT_OF_CHILDREN,YEAR_OF_BIRTH,YEARS_IN_PRESENT_EMPLOYMENT,OCCUPATION_TYPE,EMPLOYMENT_TYPE,OWN_A_CAR,OWN_A_HOUSE,EDUCATIONAL_QUALIFICATION,HOUSE_TYPE,APARTMENT_TYPE,ACCOMODATION_TYPE,LIVING_REGION_CONDITION,DSTV_OR_GOtv_LASTDAY_RECHARGE,NEPA_LASTDAY_PAY,PHONE_LASTDAY_RECHARGE,TARGET
female,widowed,90773382804,NIN,no,personal home loan,15000,93000,9800,3,1985,two years,Laborer,contract,yes,yes,Diploma,Duplex,one room,Living with Parents/Friends/Family,very good,less than three weeks ago,a month ago,less than three weeks ago,0
female,divorced,91116846491,NIN,yes,joint mortgage,70000,240000,7900,3,1968,above ten years,Accountant,contract,no,no,Post Graduate,block of flats,three rooms,Rented,very bad,less than three weeks ago,a month ago,a year ago,0
female,widowed,91460310179,National Driver’s Licence,yes,secured overdraft,894000,72000,0,3,1984,seven years,teacher,contract,no,yes,Secondary School,block of flats,one room,Living with Parents/Friends/Family,very bad,less than three weeks ago,less than three weeks ago,less than three weeks ago,0
female,single,91803773866,NIN,yes,secured overdraft,60000,23456,0,0,1964,above ten years,Driver,contract,no,yes,Graduate,face-me i face-you,five rooms,Living with Parents/Friends/Family,very good,two months ago,less than three weeks ago,less than three weeks ago,0
male,divorced,92147237553,Valid INEC Voter’s Card,yes,personal home loan,100000,9876,0,3,1972,seven years,teacher,contract,no,no,Secondary School,Bungalow,Studio,Official Quarters,good,less than three weeks ago,less than three weeks ago,less than three weeks ago,1
female,single,92490701240,National ID Card,yes,secured overdraft,12000,678,0,4,1959,less than one year,Driver,permanet,no,yes,Graduate,Terraced,four rooms,Rented,very good,less than three weeks ago,less than six months,a month ago,0
male,single,92834164928,NIN,no,joint mortgage,7000000,8765,0,0,1988,above ten years,teacher,contract,yes,yes,Diploma,face-me i face-you,five rooms,Official Quarters,good,two months ago,a month ago,three months ago,1
male,widowed,93177628615,Valid INEC Voter’s Card,no,personal home loan,50000,45678,6700,2,1976,above ten years,Accountant,contract,yes,yes,Professional,block of flats,one room,Rented,very good,less than three weeks ago,less than three weeks ago,less than three weeks ago,1
male,widowed,93521092302,Int’l Passport,no,secured overdraft,2000,9876,54000,0,2004,eight years,Driver,permanet,yes,yes,Secondary School,Bungalow,four rooms,Rented,good,less than three weeks ago,less than three weeks ago,a month ago,0
female,single,93864555990,National ID Card,no,secured overdraft,40000,56787,40000,0,2007,above ten years,teacher,permanet,yes,yes,Post Graduate,Semi-detached,four rooms,Rented,very good,a month ago,a year ago,two months ago,1
male,widowed,94208019677,Valid INEC Voter’s Card,no,joint mortgage,60000,876543,89600,0,1963,less than one year,Driver,permanet,yes,no,Post Graduate,block of flats,two rooms,Official Quarters,bad,three months ago,less than three weeks ago,a month ago,1
female,single,94551483364,National Driver’s Licence,yes,automobile loan,2000,6789,500,0,1978,above ten years,Accountant,permanet,no,no,Secondary School,Bungalow,Studio,Rented,good,a month ago,a month ago,less than three weeks ago,0
male,widowed,94894947051,NIN,yes,joint mortgage,4999,65678,200,2,1962,two years,Driver,permanet,no,no,Professional,face-me i face-you,five rooms,Official Quarters,good,a year ago,a year ago,less than three weeks ago,0
male,divorced,95238410739,National ID Card,yes,personal home loan,10000,66666,0,2,1967,four years,Driver,permanet,no,no,Diploma,block of flats,one room,Living with Parents/Friends/Family,good,less than three weeks ago,a month ago,less than three weeks ago,1
female,divorced,95581874426,National Driver’s Licence,yes,secured overdraft,30000,9000,0,0,1965,nine years,Laborer,permanet,yes,no,Graduate,block of flats,five rooms,Official Quarters,very bad,two months ago,less than three weeks ago,a month ago,1
male,widowed,95925338113,NIN,yes,joint mortgage,40000,56400,0,0,2008,three years,Accountant,contract,yes,yes,Secondary School,Terraced,three rooms,Rented,very good,less than three weeks ago,two months ago,a month ago,1
male,divorced,96268801801,National ID Card,no,salary loan,1000000,34567,2100,3,2002,nine years,Accountant,permanet,yes,yes,Post Graduate,face-me i face-you,five rooms,Official Quarters,bad,a month ago,less than three weeks ago,less than six months,0
female,single,96612265488,Valid INEC Voter’s Card,no,personal home loan,2000000,98765,0,0,1998,two years,Laborer,contract,no,yes,Graduate,Mansion,Studio,Living with Parents/Friends/Family,very good,less than three weeks ago,less than three weeks ago,less than three weeks ago,1
male,divorced,96955729175,NIN,no,secured overdraft,180000,967000,0,3,1972,three years,Driver,permanet,yes,yes,Secondary School,Detached,three rooms,Living with Parents/Friends/Family,very bad,a year ago,a month ago,a month ago,0
female,single,97299192863,National Driver’s Licence,yes,salary loan,220000,96000,5600,3,1973,eight years,Driver,permanet,no,yes,Diploma,Penthouse,five rooms,Official Quarters,good,less than six months,less than three weeks ago,a month ago,0
female,widowed,97642656550,National Driver’s Licence,yes,joint mortgage,600000,71000,9000,3,2006,five years,Laborer,permanet,no,no,Primary School Leaving Certificate,Terraced,one room,Official Quarters,very bad,two months ago,less than three weeks ago,less than three weeks ago,1
female,single,97986120237,NIN,yes,joint mortgage,280000,85000,76430,3,2000,seven years,Accountant,permanet,yes,no,Professional,block of flats,four rooms,Living with Parents/Friends/Family,bad,less than three weeks ago,less than three weeks ago,less than three weeks ago,0
male,widowed,98329583924,National ID Card,no,secured overdraft,300000,534000,78900,3,2000,five years,Driver,contract,no,no,Graduate,Semi-detached,five rooms,Living with Parents/Friends/Family,good,less than three weeks ago,less than three weeks ago,less than three weeks ago,1
female,single,98673047612,NIN,yes,personal home loan,200000,740000,54300,2,2000,six years,Accountant,contract,no,yes,Post Graduate,face-me i face-you,four rooms,Rented,very bad,less than three weeks ago,less than three weeks ago,less than three weeks ago,0
female,single,99016511299,National ID Card,no,automobile loan,108000,59000,98000,4,1985,two years,Driver,permanet,no,yes,Professional,block of flats,one room,Official Quarters,good,two months ago,less than three weeks ago,a month ago,0
female,widowed,99359974986,Int’l Passport,no,personal home loan,60000,95000,0,1,1964,above ten years,Accountant,contract,no,yes,Secondary School,Duplex,three rooms,Living with Parents/Friends/Family,very bad,three months ago,less than three weeks ago,less than six months,1
female,divorced,99703438674,Valid INEC Voter’s Card,yes,secured overdraft,10000,650000,0,1,1972,above ten years,Laborer,contract,yes,no,Diploma,Bungalow,five rooms,Living with Parents/Friends/Family,bad,two months ago,less than three weeks ago,a month ago,1
male,single,87654865854,National ID Card,no,personal home loan,390000,32000,0,1,1959,six years,Driver,permanet,yes,yes,Secondary School,Terraced,one room,Living with Parents/Friends/Family,very good,less than three weeks ago,three months ago,less than three weeks ago,1
female,widowed,71174822974,NIN,no,secured overdraft,47000,88000,0,1,1988,two years,Laborer,contract,yes,no,Post Graduate,face-me i face-you,Studio,Rented,bad,less than three weeks ago,less than three weeks ago,two months ago,0
male,single,71349932551,Int’l Passport,no,salary loan,100000,6600,0,1,1976,six years,Accountant,contract,yes,no,Secondary School,Terraced,two rooms,Living with Parents/Friends/Family,good,less than three weeks ago,two months ago,less than six months,1
male,divorced,71525042128,NIN,no,personal home loan,78000,41000000,0,1,2004,above ten years,Accountant,permanet,no,yes,Graduate,face-me i face-you,five rooms,Living with Parents/Friends/Family,very bad,a month ago,less than three weeks ago,two months ago,0
male,single,71700151705,National Driver’s Licence,yes,joint mortgage,20000000,876500,0,0,2007,above ten years,Driver,permanet,yes,no,Graduate,face-me i face-you,five rooms,Rented,very good,less than three weeks ago,a month ago,less than six months,0
female,single,71875261283,NIN,yes,salary loan,500000,8700,0,0,1963,four years,Driver,permanet,yes,no,Post Graduate,Terraced,three rooms,owned,very good,less than three weeks ago,less than three weeks ago,three months ago,0
male,divorced,72050370860,National ID Card,yes,joint mortgage,30000,8689,0,0,1999,above ten years,Laborer,contract,yes,no,Diploma,Penthouse,one room,Rented,good,less than six months,a year ago,less than three weeks ago,0
female,single,72133385122,National Driver’s Licence,yes,personal home loan,50000,98788,0,3,1995,nine years,Driver,contract,yes,no,Primary School Leaving Certificate,Bungalow,one room,Rented,very bad,a month ago,a month ago,less than three weeks ago,1
male,widowed,71847009127,NIN,no,automobile loan,20000000,67787,0,2,1993,less than one year,teacher,permanet,yes,yes,Graduate,Semi-detached,five rooms,Living with Parents/Friends/Family,very good,less than three weeks ago,a month ago,less than three weeks ago,0
male,single,71560633131,Valid INEC Voter’s Card,yes,personal home loan,500000,8978,0,0,1992,above ten years,Driver,contract,yes,yes,Primary School Leaving Certificate,Detached,two rooms,Official Quarters,good,a month ago,less than three weeks ago,two months ago,1
female,divorced,71274257136,National Driver’s Licence,yes,joint mortgage,30000,43680,0,3,1999,five years,Laborer,contract,no,yes,Primary School Leaving Certificate,block of flats,Studio,Rented,very bad,a month ago,a month ago,two months ago,1
male,single,70987881141,National ID Card,yes,secured overdraft,50000,99675,89000,6,2000,eight years,Driver,contract,yes,yes,Post Graduate,Terraced,five rooms,Living with Parents/Friends/Family,very good,less than three weeks ago,less than six months,a month ago,0
male,divorced,78408690062,NIN,yes,automobile loan,200000,56789,7000000,3,1985,less than one year,Laborer,permanet,yes,no,Secondary School,Mansion,one room,Official Quarters,good,two months ago,a month ago,a month ago,1
female,widowed,78752153749,NIN,yes,joint mortgage,4800000,45678,8000,3,1964,less than one year,teacher,contract,yes,yes,Diploma,Penthouse,one room,Rented,very bad,three months ago,less than three weeks ago,a month ago,1
male,single,79095617436,Valid INEC Voter’s Card,yes,joint mortgage,1000000,98769,98670,6,1972,seven years,Driver,contract,yes,yes,Professional,Duplex,five rooms,Official Quarters,very good,a month ago,two months ago,a month ago,0
female,single,79439081123,Valid INEC Voter’s Card,no,secured overdraft,20000,45678,0,8,1959,three years,teacher,permanet,no,yes,Secondary School,Bungalow,four rooms,Living with Parents/Friends/Family,good,less than three weeks ago,less than three weeks ago,less than six months,0
female,divorced,79782544811,Int’l Passport,yes,personal home loan,7000000,23456,0,3,1988,two years,Driver,permanet,yes,yes,Professional,Terraced,four rooms,Official Quarters,bad,less than three weeks ago,a month ago,less than three weeks ago,1
female,divorced,80126008498,National ID Card,yes,salary loan,100000,9876,60000,9,1976,above ten years,Laborer,contract,yes,yes,Post Graduate,face-me i face-you,five rooms,Official Quarters,very good,less than three weeks ago,three months ago,a year ago,1
male,widowed,87654865854,NIN,yes,joint mortgage,700000,678,0,1,2004,three years,Driver,permanet,no,yes,Graduate,Penthouse,Studio,Living with Parents/Friends/Family,bad,a month ago,a month ago,two months ago,1
female,single,71174822974,National ID Card,yes,joint mortgage,40000,8765,34000,3,2007,above ten years,teacher,contract,yes,no,Post Graduate,face-me i face-you,five rooms,Official Quarters,very good,less than six months,less than three weeks ago,less than three weeks ago,0
female,single,71349932551,National ID Card,no,automobile loan,30000,45678,0,4,1963,two years,Accountant,contract,yes,yes,Diploma,face-me i face-you,three rooms,Official Quarters,very bad,a month ago,two months ago,a month ago,1
female,single,71525042128,Valid INEC Voter’s Card,yes,personal home loan,71000,9876,0,7,1967,above ten years,Driver,contract,no,yes,Graduate,Bungalow,five rooms,Rented,good,a month ago,less than three weeks ago,three months ago,0
female,divorced,71700151705,National ID Card,yes,personal home loan,630000,56787,0,3,1994,three years,Laborer,contract,no,yes,Secondary School,Detached,two rooms,Official Quarters,very bad,less than three weeks ago,less than three weeks ago,a month ago,0
male,widowed,71875261283,NIN,no,salary loan,130000,876543,7000,8,1994,above ten years,Accountant,permanet,yes,yes,Primary School Leaving Certificate,face-me i face-you,five rooms,Official Quarters,good,less than three weeks ago,a month ago,less than three weeks ago,1
female,widowed,72050370860,Valid INEC Voter’s Card,yes,secured overdraft,400000,6789,9000,3,1983,nine years,teacher,permanet,yes,no,Primary School Leaving Certificate,block of flats,five rooms,Official Quarters,good,less than three weeks ago,a month ago,two months ago,0
male,divorced,72133385122,NIN,yes,secured overdraft,19900,65678,8600,9,1979,seven years,Driver,contract,no,yes,Secondary School,Bungalow,one room,Official Quarters,bad,two months ago,less than three weeks ago,less than three weeks ago,1
male,single,71847009127,National ID Card,no,personal home loan,310000,66666,9000,4,1964,above ten years,teacher,permanet,no,yes,Graduate,face-me i face-you,one room,Rented,very good,a month ago,less than three weeks ago,less than three weeks ago,0
male,divorced,71560633131,Valid INEC Voter’s Card,no,salary loan,19000,9000,6500,3,1972,less than one year,Driver,contract,yes,no,Graduate,Bungalow,four rooms,Official Quarters,good,a year ago,less than three weeks ago,a month ago,0
female,divorced,71274257136,National Driver’s Licence,yes,secured overdraft,67000,56400,0,2,1959,nine years,teacher,contract,yes,yes,Diploma,face-me i face-you,five rooms,owned,good,a month ago,less than six months,a month ago,1
male,widowed,70987881141,Int’l Passport,yes,salary loan,380000,34567,0,2,1988,five years,Accountant,contract,yes,yes,Secondary School,Terraced,Studio,Official Quarters,very good,less than three weeks ago,a month ago,less than three weeks ago,1
female,divorced,70701505145,National Driver’s Licence,no,joint mortgage,76400,98765,0,2,1976,less than one year,Driver,contract,yes,no,Primary School Leaving Certificate,Duplex,four rooms,Official Quarters,very bad,less than three weeks ago,less than three weeks ago,less than three weeks ago,1
male,widowed,70415129150,National ID Card,no,joint mortgage,736000,967000,75000,2,2004,two years,teacher,permanet,yes,no,Primary School Leaving Certificate,Mansion,three rooms,Rented,very good,two months ago,less than three weeks ago,less than three weeks ago,0
male,widowed,70128753154,National Driver’s Licence,yes,secured overdraft,26000,96000,94000,2,2007,three years,Driver,permanet,yes,yes,Professional,face-me i face-you,Studio,Official Quarters,very bad,a month ago,a year ago,less than six months,1
female,single,69842377159,NIN,yes,personal home loan,15000,4600,0,2,1963,eight years,Accountant,permanet,no,yes,Secondary School,face-me i face-you,four rooms,Living with Parents/Friends/Family,very good,three months ago,less than three weeks ago,a month ago,0
male,single,69556001163,Int’l Passport,yes,automobile loan,70000,9700,0,6,1978,less than one year,Driver,contract,yes,no,Professional,Penthouse,three rooms,Rented,very bad,a month ago,a month ago,less than three weeks ago,0
male,single,69269625168,Valid INEC Voter’s Card,yes,personal home loan,894000,24560,0,6,1962,two years,Driver,contract,yes,no,Graduate,Detached,five rooms,Official Quarters,good,less than three weeks ago,a year ago,less than three weeks ago,0
female,widowed,68983249172,Int’l Passport,yes,secured overdraft,60000,8300,0,6,1967,four years,Laborer,contract,no,yes,Diploma,Bungalow,two rooms,Living with Parents/Friends/Family,very bad,less than six months,a month ago,a year ago,0
male,single,68696873177,NIN,yes,personal home loan,100000,8000,0,4,1965,above ten years,Accountant,permanet,yes,yes,Post Graduate,Semi-detached,four rooms,Official Quarters,good,a month ago,less than three weeks ago,less than three weeks ago,1
female,widowed,68410497181,Valid INEC Voter’s Card,no,secured overdraft,12000,90900,8700,7,2008,three years,Accountant,contract,yes,yes,Graduate,block of flats,five rooms,Living with Parents/Friends/Family,very good,less than three weeks ago,two months ago,a month ago,0
female,single,68124121186,National ID Card,yes,salary loan,7000000,653000,65000,4,2002,above ten years,Laborer,permanet,yes,yes,Secondary School,Bungalow,Studio,owned,bad,a month ago,less than three weeks ago,a year ago,1
female,single,67837745190,National Driver’s Licence,yes,personal home loan,50000,73640,0,4,1998,less than one year,Driver,contract,yes,yes,Graduate,Penthouse,four rooms,Living with Parents/Friends/Family,good,less than three weeks ago,less than three weeks ago,a month ago,1
male,widowed,67551369195,Int’l Passport,no,joint mortgage,2000,382670,0,4,1972,above ten years,Driver,contract,yes,yes,Graduate,Terraced,one room,Official Quarters,very good,less than three weeks ago,a month ago,less than three weeks ago,0
female,divorced,67264993199,National Driver’s Licence,yes,salary loan,40000,782345,0,8,1973,nine years,Laborer,permanet,no,no,Primary School Leaving Certificate,face-me i face-you,Studio,Official Quarters,very good,a year ago,less than three weeks ago,two months ago,1
female,divorced,66978617204,NIN,yes,joint mortgage,60000,7876457,0,4,2006,two years,Accountant,contract,yes,yes,Secondary School,Terraced,four rooms,Rented,very bad,less than three weeks ago,less than three weeks ago,less than three weeks ago,1
female,single,66692241208,National Driver’s Licence,yes,personal home loan,2000,877700,9000,5,2000,three years,Driver,contract,yes,yes,Post Graduate,Mansion,one room,Official Quarters,good,a month ago,less than three weeks ago,less than three weeks ago,0
female,widowed,66405865213,NIN,yes,automobile loan,4999,999976,8900,3,2000,nine years,Accountant,permanet,no,no,Diploma,Detached,three rooms,Living with Parents/Friends/Family,bad,a year ago,less than three weeks ago,a month ago,0
male,widowed,66119489217,NIN,yes,personal home loan,10000,3737647,0,3,2000,seven years,Driver,permanet,yes,yes,Secondary School,Terraced,Studio,Official Quarters,good,less than three weeks ago,less than three weeks ago,less than three weeks ago,1
female,single,65833113222,National ID Card,no,joint mortgage,30000,90883,0,3,1985,less than one year,Accountant,contract,yes,yes,Primary School Leaving Certificate,Duplex,five rooms,Official Quarters,very good,a month ago,less than three weeks ago,less than three weeks ago,1
male,widowed,65546737226,Int’l Passport,yes,secured overdraft,40000,85340,67500,0,1964,two years,Laborer,contract,yes,yes,Primary School Leaving Certificate,Mansion,four rooms,Official Quarters,very bad,two months ago,less than three weeks ago,less than three weeks ago,1
male,single,84365498275,Valid INEC Voter’s Card,yes,automobile loan,1000000,849483,400,0,1972,eight years,Driver,contract,yes,yes,Professional,Bungalow,Studio,Official Quarters,very bad,a month ago,less than three weeks ago,less than three weeks ago,0
male,married,70852488941,National Driver’s Licence,no,joint mortgage,2000000,9540,28000,0,2007,five years,Laborer,contract,yes,yes,Graduate,face-me i face-you,one room,Living with Parents/Friends/Family,good,less than three weeks ago,three months ago,less than three weeks ago,1
female,single,71195952628,National Driver’s Licence,yes,joint mortgage,180000,655500,6000,4,1963,four years,Accountant,permanet,no,no,Post Graduate,Detached,four rooms,Living with Parents/Friends/Family,bad,less than three weeks ago,less than three weeks ago,less than three weeks ago,0
male,widowed,71539416316,National Driver’s Licence,yes,secured overdraft,220000,36640,500,4,1967,above ten years,Accountant,contract,no,yes,Secondary School,block of flats,five rooms,Living with Parents/Friends/Family,very good,three months ago,two months ago,less than three weeks ago,0
female,married,71882880003,NIN,yes,personal home loan,600000,89000,2000,4,1994,less than one year,Driver,permanet,no,yes,Diploma,face-me i face-you,two rooms,Official Quarters,bad,less than six months,less than three weeks ago,less than three weeks ago,1
male,divorced,72226343690,Valid INEC Voter’s Card,yes,salary loan,280000,536000,80000,4,1994,above ten years,Driver,permanet,no,no,Post Graduate,Mansion,three rooms,Rented,good,less than three weeks ago,a month ago,three months ago,0
male,married,72569807378,Valid INEC Voter’s Card,yes,joint mortgage,300000,870000,10000,4,1983,eight years,Laborer,permanet,no,yes,Secondary School,Bungalow,one room,Official Quarters,very good,less than six months,less than three weeks ago,less than three weeks ago,1
female,single,72913271065,National ID Card,no,joint mortgage,200000,63000,8700,2,1979,less than one year,Driver,contract,yes,yes,Graduate,face-me i face-you,five rooms,Official Quarters,very good,a month ago,less than three weeks ago,two months ago,0
male,divorced,73256734752,NIN,no,automobile loan,108000,263000,21000,5,1964,above ten years,teacher,contract,yes,yes,Graduate,Penthouse,four rooms,owned,bad,three months ago,a month ago,less than three weeks ago,0
male,married,73600198440,National ID Card,no,personal home loan,60000,58000,0,2,1972,two years,Driver,permanet,yes,yes,Secondary School,Semi-detached,one room,Official Quarters,good,less than three weeks ago,three months ago,a month ago,1
female,widowed,73943662127,Valid INEC Voter’s Card,no,personal home loan,10000,64200,0,6,1959,eight years,Laborer,permanet,yes,yes,Diploma,Terraced,four rooms,Living with Parents/Friends/Family,very bad,two months ago,a month ago,less than three weeks ago,1
male,divorced,74287125814,Int’l Passport,no,salary loan,390000,575800,500,3,1988,above ten years,Driver,contract,yes,no,Primary School Leaving Certificate,face-me i face-you,Studio,Rented,very good,a month ago,a year ago,less than three weeks ago,1
female,divorced,74630589501,National ID Card,yes,secured overdraft,47000,585850,6000,6,1976,less than one year,Laborer,permanet,no,no,Professional,Bungalow,five rooms,Living with Parents/Friends/Family,very bad,less than six months,less than three weeks ago,a month ago,0
female,divorced,74974053189,NIN,yes,secured overdraft,100000,36300,0,8,2004,two years,teacher,contract,no,no,Graduate,Duplex,one room,Official Quarters,very good,less than three weeks ago,two months ago,three months ago,1
female,widowed,75317516876,National Driver’s Licence,yes,personal home loan,78000,777000,5000,3,2006,above ten years,Driver,permanet,no,no,Professional,Penthouse,five rooms,Living with Parents/Friends/Family,good,less than six months,less than three weeks ago,a month ago,0
male,divorced,75660980563,Int’l Passport,yes,salary loan,20000000,52700,0,7,2000,three years,teacher,permanet,yes,no,Primary School Leaving Certificate,Mansion,Studio,Official Quarters,very good,three months ago,a month ago,a year ago,0
female,divorced,76004444251,Valid INEC Voter’s Card,yes,secured overdraft,500000,6877860,45000,4,2000,five years,Driver,permanet,yes,yes,Secondary School,face-me i face-you,five rooms,Rented,very bad,two months ago,less than three weeks ago,less than three weeks ago,0
female,married,76347907938,National Driver’s Licence,no,salary loan,30000,25300,20000,5,2000,nine years,Laborer,contract,yes,yes,Graduate,Bungalow,Studio,Official Quarters,very good,less than three weeks ago,a year ago,two months ago,0
female,widowed,76691371625,Valid INEC Voter’s Card,no,secured overdraft,50000,768,10000,6,1985,seven years,Driver,contract,no,yes,Post Graduate,face-me i face-you,four rooms,Living with Parents/Friends/Family,good,two months ago,less than six months,less than three weeks ago,1
female,divorced,77034835312,National ID Card,no,joint mortgage,200000,88783,4000,4,1964,three years,teacher,permanet,yes,yes,Secondary School,Mansion,five rooms,Rented,very bad,a month ago,two months ago,a month ago,0
male,widowed,77378299000,Int’l Passport,yes,salary loan,4800000,899000,4000,2,1972,five years,Accountant,permanet,no,yes,Graduate,Terraced,five rooms,Official Quarters,bad,less than three weeks ago,less than three weeks ago,less than three weeks ago,1
female,single,77721762687,NIN,yes,personal home loan,1000000,547000,50000,2,2007,seven years,Driver,contract,no,no,Secondary School,Detached,four rooms,Living with Parents/Friends/Family,very good,a month ago,less than three weeks ago,a year ago,1
male,divorced,78065226374,National ID Card,yes,secured overdraft,20000,6800,15000,1,1963,above ten years,Laborer,permanet,yes,no,Post Graduate,block of flats,one room,Official Quarters,bad,less than three weeks ago,less than three weeks ago,less than six months,0
male,widowed,78408690062,National Driver’s Licence,no,salary loan,7000000,858400,0,1,1967,above ten years,Accountant,contract,no,no,Diploma,Bungalow,three rooms,Official Quarters,bad,less than three weeks ago,two months ago,two months ago,1
male,widowed,78752153749,NIN,yes,joint mortgage,100000,8744,0,4,1994,two years,teacher,permanet,no,yes,Secondary School,face-me i face-you,one room,Rented,good,a year ago,three months ago,less than three weeks ago,1
female,single,79095617436,NIN,no,joint mortgage,700000,25379,0,3,1994,above ten years,Driver,permanet,no,yes,Professional,Terraced,two rooms,Official Quarters,good,a month ago,two months ago,less than three weeks ago,0
male,divorced,79439081123,National Driver’s Licence,no,secured overdraft,40000,44000,0,3,1967,less than one year,teacher,permanet,no,yes,Primary School Leaving Certificate,Penthouse,Studio,Living with Parents/Friends/Family,very bad,a month ago,less than three weeks ago,less than three weeks ago,0
female,married,79782544811,NIN,yes,personal home loan,30000,3772800,0,2,2000,above ten years,Driver,contract,yes,no,Diploma,Semi-detached,two rooms,owned,very good,a year ago,less than three weeks ago,two months ago,1
male,widowed,80126008498,National ID Card,no,automobile loan,71000,54000,0,4,1973,less than one year,teacher,contract,yes,yes,Secondary School,Semi-detached,five rooms,Rented,bad,a month ago,less than three weeks ago,three months ago,1
male,married,43876476544,Valid INEC Voter’s Card,no,personal home loan,630000,14000,0,4,1965,less than one year,Accountant,permanet,yes,no,Post Graduate,block of flats,five rooms,Rented,good,a month ago,a month ago,two months ago,1
female,married,87650467384,National Driver’s Licence,no,secured overdraft,130000,13000,7600,4,2008,above ten years,Driver,contract,yes,no,Primary School Leaving Certificate,Mansion,Studio,Rented,very bad,less than three weeks ago,less than three weeks ago,less than three weeks ago,0
male,married,98765805454,Int’l Passport,no,personal home loan,400000,188800,600,5,2002,two years,teacher,permanet,no,yes,Professional,face-me i face-you,three rooms,Living with Parents/Friends/Family,good,less than three weeks ago,less than three weeks ago,less than three weeks ago,1
male,widowed,78650854245,National Driver’s Licence,yes,secured overdraft,19900,13000,1000000,4,1998,above ten years,Driver,contract,yes,no,Primary School Leaving Certificate,Bungalow,four rooms,Living with Parents/Friends/Family,very good,less than six months,less than six months,less than three weeks ago,0
female,divorced,86597845656,Int’l Passport,yes,salary loan,310000,14000,50000,2,1972,above ten years,Accountant,contract,yes,no,Post Graduate,Duplex,one room,Rented,good,two months ago,a month ago,a month ago,0
male,married,26556556652,National ID Card,yes,personal home loan,19000,15000,0,12,1973,eight years,Driver,permanet,yes,no,Graduate,block of flats,five rooms,Living with Parents/Friends/Family,very bad,less than six months,less than three weeks ago,less than three weeks ago,1
female,single,45656565446,National Driver’s Licence,yes,joint mortgage,67000,16000,45000,4,2006,less than one year,Driver,contract,yes,no,Diploma,Detached,Studio,Official Quarters,good,three months ago,a month ago,less than three weeks ago,0
female,divorced,46556546577,National Driver’s Licence,no,salary loan,380000,17000,78000,5,2000,five years,Laborer,contract,yes,yes,Graduate,Mansion,three rooms,Official Quarters,bad,less than three weeks ago,a month ago,less than six months,1
female,single,48769548705,National ID Card,yes,joint mortgage,76400,18000,8300,2,2000,nine years,Accountant,permanet,yes,yes,Post Graduate,face-me i face-you,four rooms,Living with Parents/Friends/Family,good,less than three weeks ago,less than three weeks ago,a month ago,0
male,married,68457546643,National Driver’s Licence,yes,personal home loan,736000,19001,85000,6,2000,less than one year,Accountant,contract,no,yes,Secondary School,face-me i face-you,Studio,Living with Parents/Friends/Family,very good,less than three weeks ago,two months ago,less than three weeks ago,0
female,married,43265656542,Int’l Passport,yes,automobile loan,26000,27710,0,3,1985,less than one year,Laborer,contract,yes,yes,Post Graduate,Terraced,one room,Official Quarters,bad,two months ago,three months ago,a month ago,1
female,single,65843435409,National ID Card,yes,personal home loan,15000,22000,54000,6,1964,five years,Driver,contract,yes,no,Diploma,Bungalow,four rooms,Rented,very bad,two months ago,a month ago,a month ago,1
female,divorced,93656465765,Int’l Passport,yes,joint mortgage,70000,23000,47800,8,1972,two years,Driver,contract,yes,yes,Graduate,face-me i face-you,one room,Living with Parents/Friends/Family,very good,a month ago,less than three weeks ago,a month ago,1
female,married,74878973745,Int’l Passport,yes,secured overdraft,894000,3400,21000,3,1959,three years,Laborer,permanet,yes,yes,Professional,Penthouse,two rooms,Rented,very bad,a month ago,less than three weeks ago,less than three weeks ago,0
male,widowed,87890546845,National Driver’s Licence,no,automobile loan,60000,25000,0,7,1988,seven years,Accountant,contract,no,yes,Graduate,face-me i face-you,five rooms,Official Quarters,bad,a month ago,less than three weeks ago,less than three weeks ago,1
female,married,21454364645,National ID Card,yes,joint mortgage,100000,25000,0,4,1976,two years,Driver,permanet,yes,yes,Primary School Leaving Certificate,block of flats,one room,Living with Parents/Friends/Family,good,a month ago,a month ago,a year ago,0
male,widowed,65642343544,Int’l Passport,yes,joint mortgage,12000,26000,0,5,2004,above ten years,Accountant,contract,yes,yes,Post Graduate,Bungalow,Studio,Official Quarters,bad,less than six months,less than six months,less than three weeks ago,0
male,married,63265754754,National Driver’s Licence,yes,secured overdraft,7000000,27000,0,6,2007,eight years,Driver,contract,no,yes,Secondary School,face-me i face-you,one room,Rented,very bad,less than three weeks ago,a month ago,a month ago,0
male,divorced,75274645856,National ID Card,yes,personal home loan,50000,28000,0,4,1963,less than one year,Accountant,permanet,yes,no,Diploma,Terraced,three rooms,Rented,very bad,a year ago,a month ago,a year ago,0
female,widowed,98765677654,National ID Card,no,salary loan,2000,29000,0,2,1999,seven years,Laborer,permanet,yes,yes,Secondary School,face-me i face-you,Studio,Rented,good,less than three weeks ago,less than three weeks ago,a month ago,1
